Date Scraped,Type,LocalAirport,Origin/Destination,Airline,Status,Expected,Actual,Delay
07-11-24 23:55,Departures,Basel,Amsterdam,KLM,Departed,2000-01-01 06:10:00,2000-01-01 06:10:00,0.0
07-11-24 23:55,Departures,Basel,London Heathrow,British Airways,Departed,2000-01-01 06:22:00,2000-01-01 06:22:00,0.0
07-11-24 23:55,Departures,Basel,Berlin,easyJet,Departed,2000-01-01 06:24:00,2000-01-01 06:24:00,0.0
07-11-24 23:55,Departures,Basel,Palma,easyJet,Departed,2000-01-01 06:26:00,2000-01-01 06:26:00,0.0
07-11-24 23:55,Departures,Basel,Amsterdam,easyJet,Departed,2000-01-01 06:29:00,2000-01-01 06:29:00,0.0
07-11-24 23:55,Departures,Basel,Lanzarote,easyJet,Departed,2000-01-01 06:41:00,2000-01-01 06:41:00,0.0
07-11-24 23:55,Departures,Basel,Frankfurt,Lufthansa,Departed,2000-01-01 07:11:00,2000-01-01 07:11:00,0.0
07-11-24 23:55,Departures,Basel,London Gatwick,easyJet,Departed,2000-01-01 07:00:00,2000-01-01 07:00:00,0.0
07-11-24 23:55,Departures,Basel,Nice,easyJet,Departed,2000-01-01 06:57:00,2000-01-01 06:57:00,0.0
07-11-24 23:55,Departures,Basel,Porto,easyJet,Departed,2000-01-01 07:08:00,2000-01-01 07:08:00,0.0
07-11-24 23:55,Departures,Basel,Pristina,easyJet,Departed,2000-01-01 07:21:00,2000-01-01 07:21:00,0.0
07-11-24 23:55,Departures,Basel,Budapest,easyJet,Departed,2000-01-01 07:36:00,2000-01-01 07:36:00,0.0
07-11-24 23:55,Departures,Basel,Oran,ASL Airlines France,Departed,2000-01-01 08:21:00,2000-01-01 08:21:00,0.0
07-11-24 23:55,Departures,Basel,Belgrade,Wizz Air,Departed,2000-01-01 08:47:00,2000-01-01 08:47:00,0.0
07-11-24 23:55,Departures,Basel,Naples,easyJet,Departed,2000-01-01 09:33:00,2000-01-01 09:33:00,0.0
07-11-24 23:55,Departures,Basel,Skopje,Wizz Air,Departed,2000-01-01 09:44:00,2000-01-01 09:44:00,0.0
07-11-24 23:55,Departures,Basel,Munich,Lufthansa,Departed,2000-01-01 09:40:00,2000-01-01 09:50:00,10.0
07-11-24 23:55,Departures,Basel,Barcelona,easyJet,Departed,2000-01-01 10:07:00,2000-01-01 10:07:00,0.0
07-11-24 23:55,Departures,Basel,Vienna,Austrian Airlines,Departed,2000-01-01 10:36:00,2000-01-01 10:36:00,0.0
07-11-24 23:55,Departures,Basel,Paris Charles De Gaulle,Air France,Departed,2000-01-01 10:30:00,2000-01-01 10:30:00,0.0
07-11-24 23:55,Departures,Basel,Rome,easyJet,Departed,2000-01-01 10:53:00,2000-01-01 10:53:00,0.0
07-11-24 23:55,Departures,Basel,Bordeaux,easyJet,Departed,2000-01-01 10:58:00,2000-01-01 10:58:00,0.0
07-11-24 23:55,Departures,Basel,Palermo,easyJet,Departed,2000-01-01 11:00:00,2000-01-01 11:00:00,0.0
07-11-24 23:55,Departures,Basel,Istanbul,Turkish Airlines,Departed,2000-01-01 11:08:00,2000-01-01 11:08:00,0.0
07-11-24 23:55,Departures,Basel,Frankfurt,Lufthansa,Departed,2000-01-01 11:05:00,2000-01-01 11:32:00,27.0
07-11-24 23:55,Departures,Basel,Alicante,easyJet,Departed,2000-01-01 11:10:00,2000-01-01 11:10:00,0.0
07-11-24 23:55,Departures,Basel,London Luton,easyJet,Departed,2000-01-01 11:20:00,2000-01-01 11:29:00,9.0
07-11-24 23:55,Departures,Basel,Constantine,Air Alg̩rie,Departed,2000-01-01 11:55:00,2000-01-01 12:13:00,18.0
07-11-24 23:55,Departures,Basel,London Heathrow,British Airways,Departed,2000-01-01 11:21:00,2000-01-01 11:21:00,0.0
07-11-24 23:55,Departures,Basel,Amsterdam,KLM,Departed,2000-01-01 12:00:00,2000-01-01 12:27:00,27.0
07-11-24 23:55,Departures,Basel,Lisbon,easyJet,Departed,2000-01-01 11:52:00,2000-01-01 11:52:00,0.0
07-11-24 23:55,Departures,Basel,Fuerteventura,easyJet,Departed,2000-01-01 11:41:00,2000-01-01 11:41:00,0.0
07-11-24 23:55,Departures,Basel,Pristina,Chair Airlines,Departed,2000-01-01 11:54:00,2000-01-01 11:54:00,0.0
07-11-24 23:55,Departures,Basel,Malaga,easyJet,Departed,2000-01-01 12:40:00,2000-01-01 12:40:00,0.0
07-11-24 23:55,Departures,Basel,Istanbul Sabiha G̦kcen,Pegasus Airlines,Departed,2000-01-01 13:02:00,2000-01-01 13:02:00,0.0
07-11-24 23:55,Departures,Basel,Istanbul Sabiha G̦kcen,Ajet,Departed,2000-01-01 12:59:00,2000-01-01 12:59:00,0.0
07-11-24 23:55,Departures,Basel,Tenerife,easyJet,Departed,2000-01-01 13:22:00,2000-01-01 13:22:00,0.0
07-11-24 23:55,Departures,Basel,Gran Canaria,easyJet,Departed,2000-01-01 13:20:00,2000-01-01 13:20:00,0.0
07-11-24 23:55,Departures,Basel,Brindisi,easyJet,Departed,2000-01-01 13:56:00,2000-01-01 13:56:00,0.0
07-11-24 23:55,Departures,Basel,Antalya,SunExpress,Departed,2000-01-01 13:53:00,2000-01-01 13:53:00,0.0
07-11-24 23:55,Departures,Basel,Frankfurt,Lufthansa,Departed,2000-01-01 14:13:00,2000-01-01 14:13:00,0.0
07-11-24 23:55,Departures,Basel,Jersey,Netjets,Departed,2000-01-01 14:29:00,2000-01-01 14:29:00,0.0
07-11-24 23:55,Departures,Basel,Copenhagen,easyJet,Departed,2000-01-01 14:45:00,2000-01-01 14:45:00,0.0
07-11-24 23:55,Departures,Basel,Paris Charles De Gaulle,Air France,Departed,2000-01-01 15:06:00,2000-01-01 15:06:00,0.0
07-11-24 23:55,Departures,Basel,Agadir,easyJet,Departed,2000-01-01 15:15:00,2000-01-01 15:45:00,30.0
07-11-24 23:55,Departures,Basel,Madrid,Swiftair,Departed,2000-01-01 16:30:00,2000-01-01 16:52:00,22.0
07-11-24 23:55,Departures,Basel,London Stansted,Netjets,Departed,2000-01-01 15:43:00,2000-01-01 15:43:00,0.0
07-11-24 23:55,Departures,Basel,Marrakech,easyJet,Departed,2000-01-01 15:41:00,2000-01-01 15:41:00,0.0
07-11-24 23:55,Departures,Basel,Warsaw,Wizz Air,Departed,2000-01-01 15:47:00,2000-01-01 15:47:00,0.0
07-11-24 23:55,Departures,Basel,Budapest,Wizz Air,Departed,2000-01-01 16:10:00,2000-01-01 16:34:00,24.0
07-11-24 23:55,Departures,Basel,London Heathrow,British Airways,Departed,2000-01-01 15:52:00,2000-01-01 15:52:00,0.0
07-11-24 23:55,Departures,Basel,Laval Entrammes,Jetfly Aviation,Departed,2000-01-01 16:19:00,2000-01-01 16:19:00,0.0
