time,expected,origin,airline,status,scrape_time
10:45,,Rome,ITA AIRWAYS,,2024-10-23 02:14:29
10:45,,New York,DELTA AIR LINES,,2024-10-23 02:14:29
11:05,,London,EASYJET,,2024-10-23 02:14:29
11:10,,Porto,EASYJET,,2024-10-23 02:14:29
11:10,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-23 02:14:29
11:10,,Paris,AIR FRANCE,,2024-10-23 02:14:29
11:20,,Valencia,SWISS,,2024-10-23 02:14:29
11:20,,Copenhagen,EASYJET,,2024-10-23 02:14:29
11:30,,Belgrade,EASYJET,,2024-10-23 02:14:29
11:35,,Pristina,EASYJET,,2024-10-23 02:14:29
11:35,,London,SWISS,Cancelled,2024-10-23 02:14:29
11:35,,Catania,SWISS,,2024-10-23 02:14:29
11:50,,Lisbon,EASYJET,,2024-10-23 02:14:29
11:50,,Madrid,IBERIA,,2024-10-23 02:14:29
12:00,,London,BRITISH AIRWAYS,,2024-10-23 02:14:29
12:10,,Lisbon,TAP PORTUGAL,,2024-10-23 02:14:29
12:10,,Pristina,SWISS,,2024-10-23 02:14:29
12:30,,Munich,AIR DOLOMITI,,2024-10-23 02:14:29
12:30,,Djerba,EASYJET,,2024-10-23 02:14:29
12:40,,Warsaw,LOT POLISH AIRLINES,,2024-10-23 02:14:29
12:50,,Santiago de Compostela,EASYJET,,2024-10-23 02:14:29
13:00,,Zurich,SWISS,,2024-10-23 02:14:29
13:05,,Marrakech,EASYJET,,2024-10-23 02:14:29
13:05,,Pristina,GP AVIATION,,2024-10-23 02:14:29
13:15,,Dubai,EMIRATES,,2024-10-23 02:14:29
13:20,,Istanbul,PEGASUS,,2024-10-23 02:14:29
13:25,,Madrid,IBERIA,,2024-10-23 02:14:29
13:25,,Frankfurt,AIR DOLOMITI,,2024-10-23 02:14:29
13:25,,Lille,EASYJET,,2024-10-23 02:14:29
13:35,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-23 02:14:29
13:45,,Istanbul,TURKISH AIRLINES,,2024-10-23 02:14:29
13:45,,Split,EASYJET,,2024-10-23 02:14:29
13:50,,Paris,AIR FRANCE,,2024-10-23 02:14:29
13:55,,Zurich,SWISS,,2024-10-23 02:14:29
13:55,,Manchester,EASYJET,,2024-10-23 02:14:29
14:00,,Edinburgh,EASYJET,,2024-10-23 02:14:29
14:00,,Kuwait,KUWAIT AIRWAYS,,2024-10-23 02:14:29
14:05,,Frankfurt,SWISS,,2024-10-23 02:14:29
14:10,,Nantes,EASYJET,,2024-10-23 02:14:29
14:35,,Madrid,EASYJET,,2024-10-23 02:14:29
14:35,,Amman,ROYAL JORDANIAN,,2024-10-23 02:14:29
14:35,,Riyadh,SAUDIA,,2024-10-23 02:14:29
14:40,,Bastia,EASYJET,,2024-10-23 02:14:29
14:50,,Marrakech,SWISS,,2024-10-23 02:14:29
14:55,,Santorin,SWISS,,2024-10-23 02:14:29
15:00,,Nice,EASYJET,,2024-10-23 02:14:29
15:05,,Porto,TAP PORTUGAL,,2024-10-23 02:14:29
15:05,,Malaga,EASYJET,,2024-10-23 02:14:29
15:15,,Prague,EASYJET,,2024-10-23 02:14:29
15:20,,Barcelona,EASYJET,,2024-10-23 02:14:29
15:25,,Naples,EASYJET,,2024-10-23 02:14:29
15:30,,Porto,EASYJET,,2024-10-23 02:14:29
15:30,,Alicante,EASYJET,,2024-10-23 02:14:29
15:35,,London,EASYJET,,2024-10-23 02:14:29
15:50,,London,BRITISH AIRWAYS,,2024-10-23 02:14:29
